complexity,n_patients,n_deaths,mortality_rate,d_eff,auc_mean,auc_std,auc_ci_low,auc_ci_high
Simple,159211,504,0.0031656104163657033,44.27287305890595,0.8665640573357288,0.010301387559027132,0.8575344930206632,0.8755936216507945
Moderate,128979,1470,0.011397204196031912,37.54257523155275,0.8352658141674304,0.004252998787840432,0.831537896363479,0.8389937319713818
Complex,137026,8011,0.05846335731904894,29.48373395129761,0.8588386283058751,0.009481674561375731,0.8505275741128466,0.8671496824989036
