trial,patient_dims,patient_deff,observer_dims,dim_ratio,sync_error,stability
0,100,16.0077029465933,5,0.05,0.5722274357863497,0.4277725642136503
0,100,16.0077029465933,10,0.1,0.3003212075140459,0.6996787924859541
0,100,16.0077029465933,20,0.2,0.028113788569955167,0.9718862114300448
0,100,16.0077029465933,30,0.3,0.0028645911493556664,0.9971354088506443
0,100,16.0077029465933,50,0.5,0.0008012669431638475,0.9991987330568362
0,100,16.0077029465933,70,0.7,0.0002883698042726035,0.9997116301957274
0,100,16.0077029465933,100,1.0,1.1102230246251565e-16,0.9999999999999999
1,100,15.970612471542019,5,0.05,0.5668117768443344,0.43318822315566563
1,100,15.970612471542019,10,0.1,0.284366697360368,0.715633302639632
1,100,15.970612471542019,20,0.2,0.021105321631489926,0.9788946783685101
1,100,15.970612471542019,30,0.3,0.002694996314670073,0.9973050036853299
1,100,15.970612471542019,50,0.5,0.0007885586563570746,0.9992114413436429
1,100,15.970612471542019,70,0.7,0.0002840314810019784,0.999715968518998
1,100,15.970612471542019,100,1.0,1.1102230246251565e-16,0.9999999999999999
2,100,15.786497726982406,5,0.05,0.5638184323810336,0.4361815676189664
2,100,15.786497726982406,10,0.1,0.29139741643226713,0.7086025835677329
2,100,15.786497726982406,20,0.2,0.03400322995634297,0.965996770043657
2,100,15.786497726982406,30,0.3,0.00290659299152507,0.9970934070084749
2,100,15.786497726982406,50,0.5,0.0008202780024041401,0.9991797219975959
2,100,15.786497726982406,70,0.7,0.00028889997841874404,0.9997111000215813
2,100,15.786497726982406,100,1.0,2.220446049250313e-16,0.9999999999999998
3,100,17.10862541579527,5,0.05,0.5920663374725633,0.4079336625274367
3,100,17.10862541579527,10,0.1,0.3047704109329348,0.6952295890670652
3,100,17.10862541579527,20,0.2,0.04732008958103007,0.9526799104189699
3,100,17.10862541579527,30,0.3,0.003074892357467607,0.9969251076425324
3,100,17.10862541579527,50,0.5,0.0008148830085616954,0.9991851169914383
3,100,17.10862541579527,70,0.7,0.000293386173926824,0.9997066138260732
3,100,17.10862541579527,100,1.0,0.0,1.0
4,100,15.065659863612975,5,0.05,0.5428928486030231,0.4571071513969769
4,100,15.065659863612975,10,0.1,0.24550903116083045,0.7544909688391696
4,100,15.065659863612975,20,0.2,0.032972451469407416,0.9670275485305926
4,100,15.065659863612975,30,0.3,0.002738997284007172,0.9972610027159928
4,100,15.065659863612975,50,0.5,0.0007937899197939524,0.999206210080206
4,100,15.065659863612975,70,0.7,0.000288133321176387,0.9997118666788236
4,100,15.065659863612975,100,1.0,-2.220446049250313e-16,1.0000000000000002
5,100,14.277170152126406,5,0.05,0.5187393695139232,0.4812606304860768
5,100,14.277170152126406,10,0.1,0.2291206284577083,0.7708793715422917
5,100,14.277170152126406,20,0.2,0.017752564188803444,0.9822474358111966
5,100,14.277170152126406,30,0.3,0.002884875590230984,0.997115124409769
5,100,14.277170152126406,50,0.5,0.0007985192247383921,0.9992014807752616
5,100,14.277170152126406,70,0.7,0.0002889336654985364,0.9997110663345015
5,100,14.277170152126406,100,1.0,0.0,1.0
6,100,14.773012253957491,5,0.05,0.5273497825079547,0.4726502174920453
6,100,14.773012253957491,10,0.1,0.26256246287731755,0.7374375371226825
6,100,14.773012253957491,20,0.2,0.03067160790739354,0.9693283920926065
6,100,14.773012253957491,30,0.3,0.002599074979448446,0.9974009250205516
6,100,14.773012253957491,50,0.5,0.0007863679583542948,0.9992136320416457
6,100,14.773012253957491,70,0.7,0.00028490352532506424,0.9997150964746749
6,100,14.773012253957491,100,1.0,-2.220446049250313e-16,1.0000000000000002
7,100,15.236398503431552,5,0.05,0.5361840445372178,0.4638159554627822
7,100,15.236398503431552,10,0.1,0.2785722907863779,0.7214277092136221
7,100,15.236398503431552,20,0.2,0.02659606994769137,0.9734039300523086
7,100,15.236398503431552,30,0.3,0.0028482163749731226,0.9971517836250269
7,100,15.236398503431552,50,0.5,0.0008150846279004753,0.9991849153720995
7,100,15.236398503431552,70,0.7,0.00029594412117417424,0.9997040558788258
7,100,15.236398503431552,100,1.0,0.0,1.0
8,100,15.10062195293731,5,0.05,0.5482546477510213,0.4517453522489787
8,100,15.10062195293731,10,0.1,0.26034959086363907,0.7396504091363609
8,100,15.10062195293731,20,0.2,0.02395386116714404,0.976046138832856
8,100,15.10062195293731,30,0.3,0.002734129850912481,0.9972658701490875
8,100,15.10062195293731,50,0.5,0.000809296478040733,0.9991907035219593
8,100,15.10062195293731,70,0.7,0.0002978147464193226,0.9997021852535807
8,100,15.10062195293731,100,1.0,0.0,1.0
9,100,15.904077054691946,5,0.05,0.5598354201677977,0.44016457983220225
9,100,15.904077054691946,10,0.1,0.28498265547561286,0.7150173445243871
9,100,15.904077054691946,20,0.2,0.03091319163709816,0.9690868083629018
9,100,15.904077054691946,30,0.3,0.002656516830882305,0.9973434831691177
9,100,15.904077054691946,50,0.5,0.0007725152520821066,0.9992274847479179
9,100,15.904077054691946,70,0.7,0.00028144464585433404,0.9997185553541457
9,100,15.904077054691946,100,1.0,0.0,1.0
10,100,16.93690638577778,5,0.05,0.5891110515842544,0.41088894841574564
10,100,16.93690638577778,10,0.1,0.30131699257614664,0.6986830074238534
10,100,16.93690638577778,20,0.2,0.04534764063674601,0.954652359363254
10,100,16.93690638577778,30,0.3,0.002956622920244123,0.9970433770797559
10,100,16.93690638577778,50,0.5,0.0008277571882187029,0.9991722428117813
10,100,16.93690638577778,70,0.7,0.0002905311012901812,0.9997094688987098
10,100,16.93690638577778,100,1.0,2.220446049250313e-16,0.9999999999999998
11,100,15.934035525131264,5,0.05,0.5563571819203016,0.4436428180796984
11,100,15.934035525131264,10,0.1,0.2770179641282111,0.7229820358717889
11,100,15.934035525131264,20,0.2,0.03385105277509948,0.9661489472249005
11,100,15.934035525131264,30,0.3,0.002771369089589526,0.9972286309104105
11,100,15.934035525131264,50,0.5,0.0007916683008226677,0.9992083316991773
11,100,15.934035525131264,70,0.7,0.0002889761271864799,0.9997110238728135
11,100,15.934035525131264,100,1.0,0.0,1.0
12,100,14.934722129052147,5,0.05,0.5328735829600048,0.46712641703999525
12,100,14.934722129052147,10,0.1,0.2583928663673638,0.7416071336326362
12,100,14.934722129052147,20,0.2,0.027771193759272728,0.9722288062407273
12,100,14.934722129052147,30,0.3,0.002665380627010161,0.9973346193729898
