trial,patient_dims,patient_deff,observer_dims,dim_ratio,sync_error,stability
17,100,15.03148098419261,50,0.5,0.0007892716874544625,0.9992107283125455
17,100,15.03148098419261,70,0.7,0.0002879716483449313,0.9997120283516551
17,100,15.03148098419261,100,1.0,-2.220446049250313e-16,1.0000000000000002
18,100,16.619630781606432,5,0.05,0.5776282978084656,0.4223717021915344
18,100,16.619630781606432,10,0.1,0.31693294628592517,0.6830670537140748
18,100,16.619630781606432,20,0.2,0.030284950282935097,0.9697150497170649
18,100,16.619630781606432,30,0.3,0.00278691650977525,0.9972130834902247
18,100,16.619630781606432,50,0.5,0.0007989037121105547,0.9992010962878894
18,100,16.619630781606432,70,0.7,0.000282271553459279,0.9997177284465407
18,100,16.619630781606432,100,1.0,0.0,1.0
19,100,16.21569329440876,5,0.05,0.5626814213801894,0.4373185786198106
19,100,16.21569329440876,10,0.1,0.29512804963383554,0.7048719503661645
19,100,16.21569329440876,20,0.2,0.03255425587815264,0.9674457441218474
19,100,16.21569329440876,30,0.3,0.0027067529914586164,0.9972932470085414
19,100,16.21569329440876,50,0.5,0.0007854333544323744,0.9992145666455676
19,100,16.21569329440876,70,0.7,0.0002841402649019775,0.999715859735098
19,100,16.21569329440876,100,1.0,1.1102230246251565e-16,0.9999999999999999
